ID,tour_num,D_TRA1_SMONTH,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_1_SPOT,over_sati,inten_revis,inten_recom,BSEX,SAGE,BJOB,BEDU,BMAR,BARA
11010530201_9,1,1,1,200000,1,23310,4,4,3,1,28,1,4,1,1
11010560051_29846,1,2,1,500000,4,32400,4,4,4,1,26,1,4,1,1
1101057036A_66,1,1,2,700000,1,39010,4,5,4,2,27,1,4,1,1
11010580161_58987,1,3,0,90000,1,31370,5,4,4,1,27,1,3,1,1
11010580161_58998,1,3,0,50000,1,23010,4,4,4,2,34,1,4,1,1
11010630161_86013,1,4,2,400000,1,35020,4,4,4,1,27,1,3,1,1
11010670241_115262,1,5,0,60000,1,31130,4,4,4,1,28,1,3,1,1
11010700261_145599,1,6,1,300000,1,32030,4,4,4,1,28,1,4,1,1
11010700261_145603,1,6,0,50000,1,31270,5,4,4,2,34,1,3,1,1
11010700261_145619,1,6,2,400000,1,37020,4,4,4,1,27,1,3,1,1
11010720441_174869,1,7,1,200000,1,34030,4,4,4,2,34,1,4,1,1
11010720441_174903,1,7,1,150000,1,31240,4,4,4,1,27,1,3,1,1
11010730691_206155,1,8,2,400000,1,36460,5,5,4,2,29,1,4,1,1
11010730691_206178,1,8,1,250000,1,36360,5,4,4,2,34,1,4,1,1
11010730691_206189,1,8,0,90000,1,31370,4,4,4,1,29,1,4,1,1
1101073123A_29460,1,2,0,50000,1,31200,3,3,3,2,28,1,4,1,1
1101073123A_29499,1,2,0,70000,1,31370,4,4,4,1,38,1,4,1,1
11020520161_232705,1,9,0,100000,4,31110,4,4,4,2,36,1,4,1,1
11020520161_232714,1,9,1,400000,4,32010,4,4,4,2,27,1,4,1,1
11020580491_263360,1,10,0,150000,2,32010,4,4,4,1,36,1,4,1,1
11020580491_263370,1,10,1,600000,4,32060,4,4,4,2,35,1,4,1,1
1102067014A_56727,1,3,1,550000,4,25040,4,4,4,1,37,1,4,2,1
1102067014A_56732,1,3,1,300000,1,21060,4,3,3,2,28,1,4,1,1
1102067014A_56734,1,3,1,600000,4,38390,4,4,3,2,38,1,4,2,1
11020670481_319951,1,11,0,500000,3,31200,4,4,4,2,27,1,4,1,1
11020670481_320010,1,11,0,500000,2,31210,4,4,4,2,37,1,4,1,1
11020690701_290141,1,12,0,250000,2,31210,4,3,3,1,37,1,4,1,1
11020690701_290161,1,12,0,250000,2,23310,4,4,4,2,35,1,4,1,1
11020701301_146,1,1,1,250000,1,21090,4,4,4,2,28,1,4,2,1
1102071057A_86031,1,4,1,750000,5,31370,4,3,3,1,38,1,4,2,1
11030511461_56804,1,3,0,60000,2,31120,4,4,4,2,36,1,4,2,1
11030511461_56810,1,3,0,80000,2,31370,4,4,4,1,37,1,4,1,1
11030530251_86123,1,4,0,100000,2,31130,5,4,4,2,29,1,4,1,1
11030530251_86156,1,4,0,120000,2,31370,4,4,4,2,34,1,4,2,1
1103057037A_145661,1,6,0,120000,3,31270,5,4,4,2,38,1,4,2,1
1103057037A_145667,1,6,1,250000,1,35010,4,4,4,2,28,1,4,1,1
11030580451_116600,1,5,0,150000,2,23310,5,5,4,1,36,2,4,2,1
11030580451_116603,1,5,0,200000,3,31270,5,5,4,2,38,11,4,2,1
